AÑO,RATIO,SECTOR,VALOR
2009,ÍNDICE DE LIQUIDEZ,TELECOMUNICACIONES,0.91657144
2010,ÍNDICE DE LIQUIDEZ,TELECOMUNICACIONES,1.284324575
2011,ÍNDICE DE LIQUIDEZ,TELECOMUNICACIONES,1.073523119
2012,ÍNDICE DE LIQUIDEZ,TELECOMUNICACIONES,0.850581152
2013,ÍNDICE DE LIQUIDEZ,TELECOMUNICACIONES,0.863111252
2009,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),ALQUILER HARDWARE,0.184921214
2010,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),ALQUILER HARDWARE,0.304355838
2011,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),ALQUILER HARDWARE,0.334831832
2012,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),ALQUILER HARDWARE,0.293926828
2013,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),ALQUILER HARDWARE,0.51996088
2009,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),COMERCIALIZACIÓN HARDWARE,0.213157435
2010,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),COMERCIALIZACIÓN HARDWARE,0.269882517
2011,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),COMERCIALIZACIÓN HARDWARE,0.326480064
2012,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),COMERCIALIZACIÓN HARDWARE,0.316287155
2013,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),COMERCIALIZACIÓN HARDWARE,0.270108198
2009,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),CONTENIDOS,0.218878838
2010,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),CONTENIDOS,0.183321867
2011,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),CONTENIDOS,0.225730059
2012,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),CONTENIDOS,0.217479483
2013,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),CONTENIDOS,0.222603241
2009,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),FABRICACIÓN HARDWARE,0.304779855
2010,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),FABRICACIÓN HARDWARE,0.29180313
2011,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),FABRICACIÓN HARDWARE,0.28156702
2012,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),FABRICACIÓN HARDWARE,0.238205768
2013,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),FABRICACIÓN HARDWARE,0.23776613
2009,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),SOFTWARE,0.295143668
2010,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),SOFTWARE,0.339672453
2011,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),SOFTWARE,0.337559386
2012,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),SOFTWARE,0.325361605
2013,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),SOFTWARE,0.446875881
2009,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),TELECOMUNICACIONES,0.205702592
2010,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),TELECOMUNICACIONES,0.133780605
2011,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),TELECOMUNICACIONES,0.222961386
2012,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),TELECOMUNICACIONES,0.241076467
2013,ROE (RENDIMIENTO DEL PATRIMONIO) (UTILIDAD/PATRIMONIO),TELECOMUNICACIONES,0.252211888
2009,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),ALQUILER HARDWARE,0.054364296
2010,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),ALQUILER HARDWARE,0.095994801
2011,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),ALQUILER HARDWARE,0.129067374
2012,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),ALQUILER HARDWARE,0.095969107
2013,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),ALQUILER HARDWARE,0.095056242
2009,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),COMERCIALIZACIÓN HARDWARE,0.067516085
2010,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),COMERCIALIZACIÓN HARDWARE,0.079283257
2011,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),COMERCIALIZACIÓN HARDWARE,0.103539537
2012,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),COMERCIALIZACIÓN HARDWARE,0.097927978
2013,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),COMERCIALIZACIÓN HARDWARE,0.086283067
2009,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),CONTENIDOS,0.075305815
2010,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),CONTENIDOS,0.0731105
2011,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),CONTENIDOS,0.084036771
2012,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),CONTENIDOS,0.079701744
2013,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),CONTENIDOS,0.0787839
2009,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),FABRICACIÓN HARDWARE,0.075403941
2010,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),FABRICACIÓN HARDWARE,0.085058648
2011,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),FABRICACIÓN HARDWARE,0.08078309
2012,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),FABRICACIÓN HARDWARE,0.066031248
2013,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),FABRICACIÓN HARDWARE,0.068553089
2009,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),SOFTWARE,0.09766198
2010,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),SOFTWARE,0.107838468
2011,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),SOFTWARE,0.109902255
2012,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),SOFTWARE,0.106262775
2013,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),SOFTWARE,0.126998159
2009,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),TELECOMUNICACIONES,0.122401147
2010,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),TELECOMUNICACIONES,0.09078843
2011,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),TELECOMUNICACIONES,0.145627547
2012,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),TELECOMUNICACIONES,0.153862853
2013,ROA (RENDIMIENTO DEL ACTIVO) (UTILIDAD/ACTIVO),TELECOMUNICACIONES,0.152531578
2009,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),ALQUILER HARDWARE,0.051203634
2010,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),ALQUILER HARDWARE,0.066478276
2011,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),ALQUILER HARDWARE,0.086593397
2012,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),ALQUILER HARDWARE,0.060466829
2013,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),ALQUILER HARDWARE,0.064041662
2009,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),COMERCIALIZACIÓN HARDWARE,0.045445341
2010,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),COMERCIALIZACIÓN HARDWARE,0.049785357
2011,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),COMERCIALIZACIÓN HARDWARE,0.064175428
2012,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),COMERCIALIZACIÓN HARDWARE,0.066444955
2013,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),COMERCIALIZACIÓN HARDWARE,0.060740888
2009,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),CONTENIDOS,0.06720579
2010,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),CONTENIDOS,0.064738578
2011,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),CONTENIDOS,0.070628388
2012,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),CONTENIDOS,0.069266482
2013,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),CONTENIDOS,0.064873135
2009,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),FABRICACIÓN HARDWARE,0.066386817
2010,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),FABRICACIÓN HARDWARE,0.067567115
2011,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),FABRICACIÓN HARDWARE,0.062455892
2012,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),FABRICACIÓN HARDWARE,0.059270173
2013,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),FABRICACIÓN HARDWARE,0.052936386
2009,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),SOFTWARE,0.072095972
2010,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),SOFTWARE,0.078930392
2011,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),SOFTWARE,0.092823974
2012,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),SOFTWARE,0.090003154
2013,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),SOFTWARE,0.097058602
2009,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),TELECOMUNICACIONES,0.239019879
2010,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),TELECOMUNICACIONES,0.234072865
2011,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),TELECOMUNICACIONES,0.246113604
2012,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),TELECOMUNICACIONES,0.242168786
2013,UTILIDAD DE VENTAS (UTILIDAD/VENTAS),TELECOMUNICACIONES,0.231776324
2009,NÚMERO DE EMPRESAS,ALQUILER HARDWARE,58
2010,NÚMERO DE EMPRESAS,ALQUILER HARDWARE,56
2011,NÚMERO DE EMPRESAS,ALQUILER HARDWARE,55
2012,NÚMERO DE EMPRESAS,ALQUILER HARDWARE,52
2013,NÚMERO DE EMPRESAS,ALQUILER HARDWARE,56
2009,NÚMERO DE EMPRESAS,COMERCIALIZACIÓN HARDWARE,322
2010,NÚMERO DE EMPRESAS,COMERCIALIZACIÓN HARDWARE,324
2011,NÚMERO DE EMPRESAS,COMERCIALIZACIÓN HARDWARE,347
2012,NÚMERO DE EMPRESAS,COMERCIALIZACIÓN HARDWARE,366
2013,NÚMERO DE EMPRESAS,COMERCIALIZACIÓN HARDWARE,353
2009,NÚMERO DE EMPRESAS,CONTENIDOS,1114
2010,NÚMERO DE EMPRESAS,CONTENIDOS,1179
2011,NÚMERO DE EMPRESAS,CONTENIDOS,1273
2012,NÚMERO DE EMPRESAS,CONTENIDOS,1339
2013,NÚMERO DE EMPRESAS,CONTENIDOS,1338
2009,NÚMERO DE EMPRESAS,FABRICACIÓN HARDWARE,211
2010,NÚMERO DE EMPRESAS,FABRICACIÓN HARDWARE,221
2011,NÚMERO DE EMPRESAS,FABRICACIÓN HARDWARE,225
2012,NÚMERO DE EMPRESAS,FABRICACIÓN HARDWARE,229
2013,NÚMERO DE EMPRESAS,FABRICACIÓN HARDWARE,226
2009,NÚMERO DE EMPRESAS,SOFTWARE,955
2010,NÚMERO DE EMPRESAS,SOFTWARE,980
2011,NÚMERO DE EMPRESAS,SOFTWARE,1038
2012,NÚMERO DE EMPRESAS,SOFTWARE,1087
2013,NÚMERO DE EMPRESAS,SOFTWARE,1081
2009,NÚMERO DE EMPRESAS,TELECOMUNICACIONES,530
2010,NÚMERO DE EMPRESAS,TELECOMUNICACIONES,546
2011,NÚMERO DE EMPRESAS,TELECOMUNICACIONES,565
2012,NÚMERO DE EMPRESAS,TELECOMUNICACIONES,564
2013,NÚMERO DE EMPRESAS,TELECOMUNICACIONES,612
2009,NÚMERO DE EMPRESAS,Total general,3190
2010,NÚMERO DE EMPRESAS,Total general,3306
2011,NÚMERO DE EMPRESAS,Total general,3503
2012,NÚMERO DE EMPRESAS,Total general,3637
2013,NÚMERO DE EMPRESAS,Total general,3666
2009,EXPORTACIONES NETAS,ALQUILER HARDWARE,12010.98
2010,EXPORTACIONES NETAS,ALQUILER HARDWARE,0
2011,EXPORTACIONES NETAS,ALQUILER HARDWARE,0
2012,EXPORTACIONES NETAS,ALQUILER HARDWARE,0
2013,EXPORTACIONES NETAS,ALQUILER HARDWARE,0
2009,EXPORTACIONES NETAS,COMERCIALIZACIÓN HARDWARE,901287.36
2010,EXPORTACIONES NETAS,COMERCIALIZACIÓN HARDWARE,1712538.8
2011,EXPORTACIONES NETAS,COMERCIALIZACIÓN HARDWARE,4727215.95
2012,EXPORTACIONES NETAS,COMERCIALIZACIÓN HARDWARE,4931542.63
2013,EXPORTACIONES NETAS,COMERCIALIZACIÓN HARDWARE,4536860.74
2009,EXPORTACIONES NETAS,CONTENIDOS,5188943.18
2010,EXPORTACIONES NETAS,CONTENIDOS,7562809.31
2011,EXPORTACIONES NETAS,CONTENIDOS,12186334.08
2012,EXPORTACIONES NETAS,CONTENIDOS,14706750.28
2013,EXPORTACIONES NETAS,CONTENIDOS,13761275.71
2009,EXPORTACIONES NETAS,FABRICACIÓN HARDWARE,20894996.14
2010,EXPORTACIONES NETAS,FABRICACIÓN HARDWARE,16118808.97
2011,EXPORTACIONES NETAS,FABRICACIÓN HARDWARE,25530906.22
2012,EXPORTACIONES NETAS,FABRICACIÓN HARDWARE,21590548.37
2013,EXPORTACIONES NETAS,FABRICACIÓN HARDWARE,18396937.77
2009,EXPORTACIONES NETAS,SOFTWARE,33154994.35
2010,EXPORTACIONES NETAS,SOFTWARE,58642420.28
2011,EXPORTACIONES NETAS,SOFTWARE,69331490.25
2012,EXPORTACIONES NETAS,SOFTWARE,66734693.23
2013,EXPORTACIONES NETAS,SOFTWARE,57710907.89
2009,EXPORTACIONES NETAS,TELECOMUNICACIONES,199196740.4
2010,EXPORTACIONES NETAS,TELECOMUNICACIONES,186258791.1
2011,EXPORTACIONES NETAS,TELECOMUNICACIONES,197487506.1
2012,EXPORTACIONES NETAS,TELECOMUNICACIONES,176771717.8
2013,EXPORTACIONES NETAS,TELECOMUNICACIONES,155726248.7

